software_name,category,decision,matched_projects,project_count,install_location,estimated_size,last_related_project_activity,confidence_score,explanation
Anaconda3 2025.12-2 (Python 3.13.9,AI/ML,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Anaconda3 2025.12-2 (Python 3.13.9 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Anaconda3 2025.12-2 (Python 3.13.9 64-bit),AI/ML,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Anaconda3 2025.12-2 (Python 3.13.9 64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Anaconda3 2025.12-2 (Python 3.13.9 64-b…,AI/ML,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Anaconda3 2025.12-2 (Python 3.13.9 64-b… 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.10.6 (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.10.6 (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.10.6 (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.10.6 (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
