path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files,C:\Program Files,0,180306698064,167.92 GB,installed_programs,manual_review
C:\Program Files\Epic Games,C:\Program Files,1,129008146568,120.15 GB,directory,manual_review
C:\Program Files\Epic Games\GTAV,C:\Program Files,2,127932637192,119.15 GB,directory,manual_review
C:\Program Files (x86),C:\Program Files (x86),0,24620261475,22.93 GB,installed_programs,manual_review
C:\Program Files\dotnet,C:\Program Files,1,8862537329,8.25 GB,directory,manual_review
C:\Program Files\Microsoft Visual Studio\2022,C:\Program Files,2,6585561943,6.13 GB,directory,manual_review
C:\Program Files\Microsoft Visual Studio,C:\Program Files,1,6585561943,6.13 GB,directory,manual_review
C:\Program Files (x86)\Microsoft,C:\Program Files (x86),1,6576430981,6.12 GB,directory,manual_review
C:\Program Files\Microsoft Office,C:\Program Files,1,5157269363,4.80 GB,directory,manual_review
C:\Program Files\Microsoft Office\root,C:\Program Files,2,5143958717,4.79 GB,directory,manual_review
C:\Program Files\dotnet\sdk,C:\Program Files,2,4572881176,4.26 GB,directory,manual_review
C:\Program Files (x86)\Windows Kits,C:\Program Files (x86),1,4060432145,3.78 GB,directory,manual_review
C:\Program Files (x86)\Windows Kits\10,C:\Program Files (x86),2,4053043182,3.77 GB,directory,manual_review
C:\Program Files\Microsoft SQL Server,C:\Program Files,1,4020733546,3.74 GB,directory,manual_review
C:\Program Files\Docker,C:\Program Files,1,3919193063,3.65 GB,directory,manual_review
C:\Program Files (x86)\Microsoft Visual Studio,C:\Program Files (x86),1,3883005420,3.62 GB,directory,manual_review
C:\Program Files (x86)\Microsoft Visual Studio\2022,C:\Program Files (x86),2,3651054387,3.40 GB,directory,manual_review
C:\Program Files\Docker\Docker,C:\Program Files,2,3321791751,3.09 GB,directory,manual_review
C:\Program Files\Android\Android Studio,C:\Program Files,2,3289010007,3.06 GB,directory,manual_review
C:\Program Files\Android,C:\Program Files,1,3289010007,3.06 GB,directory,manual_review
C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.1.4,C:\Program Files,2,3063563675,2.85 GB,directory,manual_review
C:\Program Files\JetBrains,C:\Program Files,1,3063563675,2.85 GB,directory,manual_review
C:\Program Files (x86)\R.G. Mechanics\Need for Speed - Most Wanted,C:\Program Files (x86),2,3029989136,2.82 GB,directory,manual_review
C:\Program Files (x86)\R.G. Mechanics,C:\Program Files (x86),1,3029989136,2.82 GB,directory,manual_review
