name,version,publisher,install_location,uninstall_string,source
7-Zip 24.08 (x64),24.08,Igor Pavlov,C:\Program Files\7-Zip\,"""C:\Program Files\7-Zip\Uninstall.exe"" /S",registry
Android Studio,2025.1,Google LLC,,C:\Program Files\Android\Android Studio\uninstall.exe,registry
Application Verifier x64 External Package (DesktopEditions),10.1.22621.5040,Microsoft,,MsiExec.exe /I{ACB8119F-54A6-C93C-CA2F-3A1476EE8869},registry
Application Verifier x64 External Package (DesktopEditions),10.1.26100.7175,Microsoft,,MsiExec.exe /I{C0B0A1D9-9045-54FE-86F6-1B0F836E665E},registry
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.5040,Microsoft,,MsiExec.exe /I{C53ECC06-72B1-FEBF-D241-038A4BC83E57},registry
Application Verifier x64 External Package (OnecoreUAP),10.1.26100.7175,Microsoft,,MsiExec.exe /I{674C8368-9677-55A8-FAD9-A86A3073E60D},registry
BCUninstaller 5.9.0.0,5.9.0.0,Marcin Szeniak,C:\Program Files\BCUninstaller\,"""C:\Program Files\BCUninstaller\unins000.exe"" /SILENT",registry
Blender,4.4.3,Blender Foundation,C:\Program Files\Blender Foundation\Blender 4.4\,MsiExec.exe /X{18B187C8-0D7C-4A4F-AA2B-67B10442BC1E},registry
Brave,149.1.91.175,Brave Software Inc,C:\Program Files\BraveSoftware\Brave-Browser\Application,"""C:\Program Files\BraveSoftware\Brave-Browser\Application\149.1.91.175\Installer\setup.exe"" --uninstall --system-level",registry
Browser for SQL Server 2025,17.0.1000.7,Microsoft Corporation,,MsiExec.exe /X{DD36BE85-7BAC-4FEA-876E-060BD7936895},registry
Cheat Engine 7.5,,Cheat Engine,C:\Program Files\Cheat Engine 7.5\,"""C:\Program Files\Cheat Engine 7.5\unins000.exe"" /SILENT",registry
Cisco Packet Tracer 8.2.2 64Bit,8.2.2.400,"Cisco Systems, Inc.",C:\Program Files\Cisco Packet Tracer 8.2.2\,"""C:\Program Files\Cisco Packet Tracer 8.2.2\unins000.exe"" /SILENT",registry
ClickOnce Bootstrapper Package for Microsoft .NET Framework,4.8.09256,Microsoft Corporation,,MsiExec.exe /X{BDF8C840-5B9A-4D9B-9BCA-CE4163973563},registry
CMake,4.0.3,Kitware,C:\Program Files\CMake\,MsiExec.exe /X{9E6907CB-0F65-4666-BD5A-75012DE9B26D},registry
Copilot,149.0.4022.66,Microsoft Corporation,C:\Program Files (x86)\Microsoft\Copilot\Application,"""C:\Program Files (x86)\Microsoft\Copilot\Application\149.0.4022.66\Installer\copilot_setup.exe"" --uninstall --mscopilot --channel=stable --system-level --verbose-logging",registry
